테스트시나리오ID,테스트시나리오명,테스트케이스ID,테스트케이스 내용,사전조건,예상결과,관련 API,실제결과,pass/fail,테스트수행일,담당자
"테스트_인증_02","회원가입 [성공]","테스트_인증_02.001","회원가입 페이지에 접속한다","비로그인 상태","아이디, 닉네임, 휴대폰번호, 비밀번호 입력 폼과 약관동의 체크박스가 표시된다","- (프론트 UI)",,,,,
"테스트_인증_02","회원가입 [성공]","테스트_인증_02.002","모든 필드를 올바르게 입력하고 약관에 동의한 후 회원가입 버튼을 클릭한다","비로그인 상태 / 유효 입력","API 201 응답, 회원가입 성공 메시지가 표시되고 로그인 페이지로 이동한다","POST /api/auth/signup → 201",,,,,
"테스트_인증_02","회원가입 [성공]","테스트_인증_02.003","""전체 동의"" 체크박스를 클릭한다","회원가입 페이지","이용약관, 개인정보처리방침 등 모든 하위 체크박스가 일괄 선택된다","- (프론트 UI)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.004","아이디를 3자 이하(영문/숫자 4자 미만)로 입력한다","회원가입 페이지","""영문/숫자 4자 이상"" 유효성 검사 오류 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.005","이미 존재하는 아이디로 가입을 시도한다","회원가입 페이지","API 409 응답, ""이미 사용 중인 아이디입니다"" 오류 메시지가 표시된다","POST /api/auth/signup → 409",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.006","닉네임을 1자(2자 미만)로 입력한다","회원가입 페이지","""2~8자 사이로 입력해주세요"" 유효성 검사 오류 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.007","닉네임을 9자 이상으로 입력한다","회원가입 페이지","""2~8자 사이로 입력해주세요"" 유효성 검사 오류 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.008","비밀번호를 8자 미만으로 입력한다","회원가입 페이지","""8자 이상, 영문+숫자 조합"" 유효성 검사 오류 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.009","비밀번호를 숫자로만 8자 이상 입력한다","회원가입 페이지","""영문+숫자 조합"" 유효성 검사 오류 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.010","필수 약관에 동의하지 않고 회원가입 버튼을 클릭한다","회원가입 페이지","""필수 약관에 동의해주세요"" 안내 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_02","회원가입 [실패]","테스트_인증_02.011","휴대폰번호를 잘못된 형식으로 입력한다","회원가입 페이지","유효한 전화번호 형식 안내 메시지가 표시된다","- (프론트 유효성 검사)",,,,,
"테스트_인증_03","비밀번호 찾기 [성공]","테스트_인증_03.001","비밀번호 찾기 페이지에 접속한다","비로그인 상태","3단계 스텝 UI(정보입력 → 인증 → 재설정)와 아이디/휴대폰번호 입력 폼이 표시된다","- (프론트 UI)",,,,,
"테스트_인증_03","비밀번호 찾기 [성공]","테스트_인증_03.002","올바른 아이디와 등록된 휴대폰번호를 입력하고 인증번호 전송을 요청한다","비로그인 상태 / 유효 계정","API 200 응답, 인증번호가 발송되고 인증번호 입력 단계로 이동한다","POST /api/auth/password-recovery/request → 200",,,,,
"테스트_인증_03","비밀번호 찾기 [성공]","테스트_인증_03.003","올바른 인증번호를 입력한다","인증번호 발송 완료","API 200 응답, 인증 성공 후 비밀번호 재설정 단계로 이동한다","POST /api/auth/password-recovery/verify → 200",,,,,
"테스트_인증_03","비밀번호 찾기 [성공]","테스트_인증_03.004","새 비밀번호를 유효한 형식으로 입력하고 재설정을 완료한다","인증 완료","API 200 응답, 비밀번호 변경 성공 후 로그인 페이지로 이동한다","POST /api/auth/password-recovery/reset → 200",,,,,
"테스트_인증_03","비밀번호 찾기 [성공]","테스트_인증_03.005","""로그인으로 돌아가기"" 링크를 클릭한다","비밀번호 찾기 페이지","로그인 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_인증_03","비밀번호 찾기 [실패]","테스트_인증_03.006","존재하지 않는 아이디로 인증번호 전송을 요청한다","비로그인 상태","API 404 응답, ""존재하지 않는 계정"" 오류 메시지가 표시된다","POST /api/auth/password-recovery/request → 404",,,,,
"테스트_인증_03","비밀번호 찾기 [실패]","테스트_인증_03.007","잘못된 인증번호를 입력한다","인증번호 발송 완료","API 400 응답, ""인증번호가 올바르지 않습니다"" 오류 메시지가 표시된다","POST /api/auth/password-recovery/verify → 400",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.001","전국축제 메인 페이지에 접속한다","페이지 로드 완료","API 200 응답, 축제 카드 목록, 상태 필터, 검색바, 정렬 드롭다운, 페이지네이션이 표시된다","GET /api/festivals → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.002","""진행중"" 필터 버튼을 클릭한다","전국축제 메인 페이지","현재 진행 중인 축제만 목록에 표시되고 URL에 ?status=ongoing이 반영된다","GET /api/festivals?status=ongoing → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.003","""진행예정"" 필터 버튼을 클릭한다","전국축제 메인 페이지","진행 예정인 축제만 목록에 표시되고 URL에 ?status=upcoming이 반영된다","GET /api/festivals?status=upcoming → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.004","""전체"" 필터 버튼을 클릭한다","전국축제 메인 페이지","모든 상태의 축제가 목록에 표시된다","GET /api/festivals → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.005","검색바에 축제명(예: ""벚꽃"")을 입력하고 검색 버튼을 클릭한다","전국축제 메인 페이지","검색어가 포함된 축제만 목록에 표시된다","GET /api/festivals?keyword=벚꽃 → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.006","검색바에 지역명(예: ""서울"")을 입력하고 검색 버튼을 클릭한다","전국축제 메인 페이지","해당 지역의 축제만 목록에 표시된다","GET /api/festivals?keyword=서울 → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.007","""상세 필터"" 버튼을 클릭한다","전국축제 메인 페이지","상세 필터(지역, 기간 등) 패널이 펼쳐진다","- (프론트 UI)",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.008","정렬 드롭다운에서 ""최신순""을 선택한다","전국축제 메인 페이지","축제 목록이 최신 등록순으로 정렬된다","GET /api/festivals?sort=latest → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.009","페이지네이션에서 ""2"" 페이지를 클릭한다","전국축제 메인 페이지","2페이지 축제 목록이 표시되고 URL에 ?page=2가 반영된다","GET /api/festivals?page=2 → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.010","페이지네이션에서 ""다음"" 버튼을 클릭한다","전국축제 메인 페이지","다음 페이지의 축제 목록이 표시된다","GET /api/festivals?page={n+1} → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.011","페이지네이션에서 ""이전"" 버튼을 클릭한다","전국축제 메인 2페이지 이상","이전 페이지의 축제 목록이 표시된다","GET /api/festivals?page={n-1} → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.012","축제 카드에 이미지, 상태 뱃지, 축제명, 기간, 평점, 리뷰 수, 즐겨찾기 수가 표시되는지 확인한다","전국축제 메인 페이지","API 응답 데이터 기반으로 모든 정보가 정상적으로 표시된다","GET /api/festivals → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.013","축제 카드를 클릭한다","전국축제 메인 페이지","해당 축제의 상세 페이지(/festivals/{id})로 이동한다","GET /api/festivals/{id} → 200",,,,,
"테스트_축제_01","전국축제 메인 [성공]","테스트_축제_01.014","""지도 뷰로 보기"" 버튼을 클릭한다","전국축제 메인 페이지","지도 뷰 페이지(/festivals/map)로 이동하고 마커가 표시된다","GET /api/festivals?size=999 → 200",,,,,
"테스트_축제_01","전국축제 메인 [실패]","테스트_축제_01.015","존재하지 않는 축제명으로 검색한다","전국축제 메인 페이지","API 200 응답(빈 리스트), ""검색 결과가 없습니다"" 안내 메시지가 표시된다","GET /api/festivals?keyword=xxx → 200 (empty)",,,,,
"테스트_축제_01","전국축제 메인 [실패]","테스트_축제_01.016","축제 카드의 하트(♥) 아이콘을 비로그인 상태에서 클릭한다","비로그인 상태","로그인 페이지로 이동하거나 로그인 요구 안내 메시지가 표시된다","POST /api/favorites → 401",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.001","축제 상세 페이지에 접속한다","유효한 축제 ID","API 200 응답, 대표 이미지, 축제명, 기간, 위치, 설명, 리뷰 섹션이 표시된다","GET /api/festivals/{id} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.002","""목록으로"" 버튼을 클릭한다","축제 상세 페이지","전국축제 메인 목록 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.003","축제 상세 정보(축제명, 기간, 장소, 요금, 문의처)가 정상 표시되는지 확인한다","축제 상세 페이지","API 응답의 모든 상세 정보가 정상적으로 렌더링된다","GET /api/festivals/{id} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.004","로그인 상태에서 즐겨찾기(하트) 버튼을 클릭한다","로그인 상태 / 축제 상세","API 200 응답, 하트가 채워지고 즐겨찾기에 추가된다","POST /api/favorites → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.005","이미 즐겨찾기 된 축제의 하트 버튼을 다시 클릭한다","로그인 상태 / 즐겨찾기 됨","API 200 응답, 하트가 비워지고 즐겨찾기에서 제거된다","DELETE /api/favorites/{festivalId} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.006","리뷰 섹션에서 평균 별점과 리뷰 수가 표시되는지 확인한다","축제 상세 페이지","평균 별점, 총 리뷰 수, 별점 분포 차트가 표시된다","GET /api/reviews?festivalId={id} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.007","로그인 상태에서 별점(1~5)을 선택하고 리뷰 내용을 입력한 후 ""리뷰 등록"" 버튼을 클릭한다","로그인 상태 / 유효 입력","API 201 응답, 리뷰가 등록되고 리뷰 목록에 새 리뷰가 표시된다","POST /api/reviews → 201",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.008","""후기 전체보기"" 버튼을 클릭한다","축제 상세 페이지","해당 축제의 전체 리뷰 목록이 모두 표시된다","GET /api/reviews?festivalId={id} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.009","본인이 작성한 리뷰의 수정 버튼을 클릭한다","로그인 상태 / 본인 리뷰","리뷰 수정 모드로 전환되어 내용을 편집할 수 있다","PUT /api/reviews/{reviewId} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.010","본인이 작성한 리뷰의 삭제 버튼을 클릭한다","로그인 상태 / 본인 리뷰","삭제 확인 후 API 200 응답, 리뷰가 삭제되고 목록에서 제거된다","DELETE /api/reviews/{reviewId} → 200",,,,,
"테스트_축제_02","축제 상세 [성공]","테스트_축제_02.011","위치 정보 섹션에서 주소, 전화번호, 요금 정보가 표시되는지 확인한다","축제 상세 페이지","주소(지도 아이콘 포함), 문의 전화번호, 이용 요금이 정상 표시된다","GET /api/festivals/{id} → 200",,,,,
"테스트_축제_02","축제 상세 [실패]","테스트_축제_02.012","비로그인 상태에서 즐겨찾기(하트) 버튼을 클릭한다","비로그인 상태","로그인 요구 안내 메시지가 표시되거나 로그인 페이지로 이동한다","POST /api/favorites → 401",,,,,
"테스트_축제_02","축제 상세 [실패]","테스트_축제_02.013","비로그인 상태에서 리뷰 작성을 시도한다","비로그인 상태","로그인 요구 안내 메시지가 표시된다","POST /api/reviews → 401",,,,,
"테스트_축제_02","축제 상세 [실패]","테스트_축제_02.014","별점을 선택하지 않고 리뷰 등록을 시도한다","로그인 상태","별점 필수 입력 안내 메시지가 표시된다 (프론트 검증)","- (프론트 유효성 검사)",,,,,
"테스트_축제_02","축제 상세 [실패]","테스트_축제_02.015","리뷰 내용을 빈칸으로 두고 리뷰 등록을 시도한다","로그인 상태","내용 필수 입력 안내 메시지가 표시된다 (프론트 검증)","- (프론트 유효성 검사)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.001","지도 뷰 페이지에 접속한다","페이지 로드 완료","API 200 응답, 좌측에 필터 사이드바, 우측에 카카오맵 지도와 마커가 표시된다","GET /api/festivals?size=999 → 200",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.002","좌측 사이드바에서 특정 지역(예: 서울)을 체크한다","지도 뷰 페이지","해당 지역의 축제 마커만 지도에 표시된다","- (프론트 필터링)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.003","상태 필터에서 ""진행 중""을 선택한다","지도 뷰 페이지","진행 중인 축제 마커만 지도에 표시된다","- (프론트 필터링)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.004","상태 필터에서 ""진행 예정""을 선택한다","지도 뷰 페이지","진행 예정인 축제 마커만 지도에 표시된다","- (프론트 필터링)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.005","사이드바의 검색바에 축제명을 입력하여 검색한다","지도 뷰 페이지","검색된 축제의 마커가 지도에 표시되고 해당 위치로 이동한다","- (프론트 필터링)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.006","""필터 초기화"" 버튼을 클릭한다","필터 적용 상태","모든 필터가 초기 상태로 돌아가고 전체 축제 마커가 표시된다","- (프론트 UI)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.007","지도 위의 축제 마커를 클릭한다","지도 뷰 페이지","해당 축제의 간략 정보(이름, 기간 등) 인포윈도우가 표시된다","- (카카오맵 SDK)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.008","인포윈도우에서 축제 상세 링크를 클릭한다","인포윈도우 표시 상태","해당 축제의 상세 페이지(/festivals/{id})로 이동한다","GET /api/festivals/{id} → 200",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.009","""내 위치로 이동"" 버튼을 클릭한다","지도 뷰 페이지","GPS 위치 권한을 요청하고, 승인 시 현재 위치로 지도가 이동한다","- (Geolocation API)",,,,,
"테스트_축제_03","지도 뷰 [성공]","테스트_축제_03.010","줌인(+) / 줌아웃(-) 버튼을 클릭한다","지도 뷰 페이지","지도의 확대/축소가 정상 동작한다","- (카카오맵 SDK)",,,,,
"테스트_축제_04","지난 축제 [성공]","테스트_축제_04.001","지난축제 페이지에 접속한다","페이지 로드 완료","API 200 응답, ""종료된 축제를 둘러보고 리뷰를 남겨보세요"" 안내와 종료된 축제 목록이 표시된다","GET /api/festivals?status=ended → 200",,,,,
"테스트_축제_04","지난 축제 [성공]","테스트_축제_04.002","축제 카드에 ""종료"" 뱃지가 표시되는지 확인한다","지난축제 페이지","모든 카드에 회색 ""종료"" 상태 뱃지가 표시된다","- (프론트 UI)",,,,,
"테스트_축제_04","지난 축제 [성공]","테스트_축제_04.003","종료된 축제 카드를 클릭한다","지난축제 페이지","해당 축제의 상세 페이지로 이동한다","GET /api/festivals/{id} → 200",,,,,
"테스트_축제_04","지난 축제 [성공]","테스트_축제_04.004","종료된 축제 상세 페이지에서 리뷰를 작성한다(로그인 상태)","로그인 상태 / 종료 축제 상세","API 201 응답, 리뷰가 정상 등록된다","POST /api/reviews → 201",,,,,
"테스트_축제_04","지난 축제 [성공]","테스트_축제_04.005","페이지네이션이 정상 동작하는지 확인한다","지난축제 페이지","페이지 전환 시 다른 종료된 축제 목록이 표시된다","GET /api/festivals?status=ended&page=2 → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.001","달력 페이지에 접속한다","페이지 로드 완료","API 200 응답, 현재 월의 달력이 표시되고 오늘 날짜가 강조 표시된다","GET /api/calendar → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.002","연도 드롭다운에서 다른 연도를 선택한다","달력 페이지","선택한 연도의 달력으로 전환된다","GET /api/calendar?year={y}&month={m} → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.003","월 드롭다운에서 다른 월을 선택한다","달력 페이지","선택한 월의 달력으로 전환된다","GET /api/calendar?year={y}&month={m} → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.004","좌측 화살표(←) 버튼을 클릭한다","달력 페이지","이전 월의 달력으로 이동한다","GET /api/calendar?year={y}&month={m-1} → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.005","우측 화살표(→) 버튼을 클릭한다","달력 페이지","다음 월의 달력으로 이동한다","GET /api/calendar?year={y}&month={m+1} → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.006","축제가 있는 날짜를 클릭한다","달력 페이지","달력 하단에 해당 날짜에 진행 중인 축제 목록이 표시된다","GET /api/calendar/festivals?date={d} → 200",,,,,
"테스트_축제_05","달력 뷰 [성공]","테스트_축제_05.007","달력의 날짜 셀에 축제 개수 표시가 되는지 확인한다","달력 페이지","축제가 있는 날짜에 축제 수 또는 표시 마커가 보인다","GET /api/calendar → 200",,,,,
"테스트_축제_05","달력 뷰 [실패]","테스트_축제_05.008","축제가 없는 날짜를 클릭한다","달력 페이지","API 200 응답(빈 리스트), ""해당 날짜에 축제가 없습니다"" 안내 메시지가 표시된다","GET /api/calendar/festivals?date={d} → 200 (empty)",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.001","커뮤니티 페이지에 접속한다","페이지 로드 완료","API 200 응답, 게시글 검색바, 카테고리 필터, 정렬 옵션, 게시글 목록이 표시된다","GET /api/community/posts → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.002","검색바에 키워드를 입력하고 검색한다","커뮤니티 페이지","해당 키워드가 포함된 게시글만 목록에 표시된다","GET /api/community/posts?keyword={kw} → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.003","상세 필터에서 카테고리를 선택한다","커뮤니티 페이지","선택한 카테고리의 게시글만 목록에 표시된다","GET /api/community/posts?category={cat} → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.004","로그인 상태에서 ""글쓰기"" 버튼을 클릭한다","로그인 상태","게시글 작성 페이지(/community/write)로 이동한다","- (프론트 라우팅)",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.005","게시글 작성 페이지에서 제목, 카테고리, 내용을 입력하고 등록한다","로그인 상태 / 유효 입력","API 201 응답, 게시글이 등록되고 커뮤니티 목록에 표시된다","POST /api/community/posts → 201",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.006","게시글 목록에서 특정 게시글을 클릭한다","커뮤니티 페이지","API 200 응답, 게시글 상세 페이지로 이동하고 내용, 작성자, 작성일, 댓글이 표시된다","GET /api/community/posts/{postId} → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.007","게시글 상세에서 댓글을 작성한다(로그인 상태)","로그인 상태 / 게시글 상세","API 201 응답, 댓글이 등록되고 댓글 목록에 표시된다","POST /api/community/posts/{postId}/comments → 201",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.008","본인이 작성한 게시글의 수정 버튼을 클릭한다","로그인 상태 / 본인 게시글","게시글 수정 페이지로 이동하고 기존 내용이 채워져 있다","PUT /api/community/posts/{postId} → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.009","본인이 작성한 게시글의 삭제 버튼을 클릭한다","로그인 상태 / 본인 게시글","삭제 확인 팝업 후 API 200 응답, 게시글이 삭제되고 목록 페이지로 이동한다","DELETE /api/community/posts/{postId} → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.010","본인이 작성한 댓글의 삭제 버튼을 클릭한다","로그인 상태 / 본인 댓글","API 200 응답, 댓글이 삭제되고 댓글 목록에서 제거된다","DELETE /api/community/comments/{commentId} → 200",,,,,
"테스트_커뮤니티_01","커뮤니티 [성공]","테스트_커뮤니티_01.011","타인의 게시글/댓글에 신고 버튼을 클릭한다(로그인 상태)","로그인 상태","API 201 응답, 신고 사유 선택 팝업이 표시되고 신고가 접수된다","POST /api/reports → 201",,,,,
